CURRENCY,DATE,TIME,EVENT,IMPACT
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A
USD,SunJan 5,4:00am,FOMC Member Daly Speaks,Low
USD,SunJan 5,,FOMC Member Kugler Speaks,Low
USD,SunJan 5,11:45pm,FOMC Member Daly Speaks,Low
N/A,SunJan 5,N/A,N/A,N/A
CNY,MonJan 6,7:15am,Caixin Services PMI,Low
EUR,MonJan 6,All Day,Italian Bank Holiday,Non-Economic
EUR,MonJan 6,All Day,German Prelim CPI m/m,High
CHF,MonJan 6,1:00pm,Retail Sales y/y,Low
EUR,MonJan 6,1:45pm,Spanish Services PMI,Low
EUR,MonJan 6,2:15pm,Italian Services PMI,Low
EUR,MonJan 6,2:20pm,French Final Services PMI,Low
EUR,MonJan 6,2:25pm,German Final Services PMI,Low
EUR,MonJan 6,2:30pm,Final Services PMI,Low
EUR,MonJan 6,3:00pm,Sentix Investor Confidence,Low
GBP,MonJan 6,,Final Services PMI,Low
USD,MonJan 6,8:00pm,FOMC Member Cook Speaks,Low
USD,MonJan 6,8:15pm,Final Services PMI,Medium
USD,MonJan 6,8:30pm,Factory Orders m/m,Low
N/A,MonJan 6,N/A,N/A,N/A
JPY,TueJan 7,5:20am,Monetary Base y/y,Low
GBP,TueJan 7,5:31am,BRC Retail Sales Monitor y/y,Low
AUD,TueJan 7,6:00am,Building Approvals m/m,Low
JPY,TueJan 7,9:05am,10-y Bond Auction,Low
GBP,TueJan 7,12:30pm,Halifax HPI m/m,Low
CHF,TueJan 7,1:00pm,CPI m/m,High
EUR,TueJan 7,1:15pm,French Prelim CPI m/m,Low
EUR,TueJan 7,2:30pm,Italian Monthly Unemployment Rate,Low
GBP,TueJan 7,3:00pm,Construction PMI,Medium
GBP,TueJan 7,,Housing Equity Withdrawal q/q,Low
EUR,TueJan 7,3:30pm,Core CPI Flash Estimate y/y,Medium
EUR,TueJan 7,,CPI Flash Estimate y/y,Medium
EUR,TueJan 7,,Italian Prelim CPI m/m,Low
EUR,TueJan 7,,Unemployment Rate,Low
GBP,TueJan 7,3:32pm,30-y Bond Auction,Low
USD,TueJan 7,6:30pm,FOMC Member Barkin Speaks,Low
CAD,TueJan 7,7:00pm,Trade Balance,Low
USD,TueJan 7,,Trade Balance,Low
NZD,TueJan 7,8:24pm,GDT Price Index,Low
CAD,TueJan 7,8:30pm,Ivey PMI,Medium
USD,TueJan 7,,ISM Services PMI,High
USD,TueJan 7,,JOLTS Job Openings,High
USD,TueJan 7,11:31pm,10-y Bond Auction,Low
N/A,TueJan 7,N/A,N/A,N/A
N/A,WedJan 8,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
USD,ThuJan 9,12:30am,FOMC Meeting Minutes,High
USD,ThuJan 9,1:30am,Consumer Credit m/m,Low
JPY,ThuJan 9,5:00am,Average Cash Earnings y/y,Low
GBP,ThuJan 9,5:31am,BRC Shop Price Index y/y,Low
AUD,ThuJan 9,6:00am,Retail Sales m/m,Medium
AUD,ThuJan 9,,Goods Trade Balance,Low
CNY,ThuJan 9,7:00am,CPI y/y,Medium
CNY,ThuJan 9,,PPI y/y,Medium
JPY,ThuJan 9,9:05am,30-y Bond Auction,Low
EUR,ThuJan 9,12:30pm,German Industrial Production m/m,Low
EUR,ThuJan 9,,German Trade Balance,Low
CHF,ThuJan 9,1:30pm,Foreign Currency Reserves,Low
EUR,ThuJan 9,2:30pm,ECB Economic Bulletin,Low
EUR,ThuJan 9,3:30pm,Retail Sales m/m,Low
EUR,ThuJan 9,Tentative,French 10-y Bond Auction,Low
USD,ThuJan 9,6:00pm,Challenger Job Cuts y/y,Low
USD,ThuJan 9,7:30pm,FOMC Member Harker Speaks,Low
GBP,ThuJan 9,9:30pm,MPC Member Breeden Speaks,Low
USD,ThuJan 9,11:15pm,FOMC Member Barkin Speaks,Low
N/A,ThuJan 9,N/A,N/A,N/A
N/A,FriJan 10,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,,N/A,N/A,N/A
N/A,SatJan 11,N/A,N/A,N/A
